词语	词频	词性
yesterday	157	英文
wait	157	英文
whole	157	英文
staysafe	156	英文
seems	156	英文
tom	156	英文
between	155	英文
fuck	155	英文
advice	154	英文
british	154	英文
makes	154	英文
less	153	英文
close	153	英文
families	153	英文
once	153	英文
possible	151	英文
save	151	英文
person	151	英文
police	151	英文
late	150	英文
else	150	英文
huge	149	英文
report	149	英文
figures	149	英文
recovery	149	英文
book	149	英文
business	148	英文
available	147	英文
group	147	英文
china	146	英文
true	145	英文
money	145	英文
different	145	英文
programme	145	英文
told	145	英文
saying	145	英文
post	144	英文
fight	144	英文
pfizer	144	英文
haven	143	英文
crisis	143	英文
change	143	英文
wonder	141	英文
received	141	英文
excellent	141	英文
negative	140	英文
hours	140	英文
tory	139	英文
frontline	139	英文
flu	139	英文
trying	138	英文
minister	138	英文
listen	138	英文
information	138	英文
bbcnews	136	英文
pay	136	英文
least	136	英文
medical	136	英文
fucking	135	英文
play	135	英文
closed	135	英文
media	135	英文
highest	134	英文
lockdown3	134	英文
tonight	134	英文
essential	133	英文
young	133	英文
mean	132	英文
wear	132	英文
britain	132	英文
colleagues	132	英文
app	132	英文
service	131	英文
science	131	英文
within	131	英文
area	131	英文
message	131	英文
understand	130	英文
surely	130	英文
stayhome	130	英文
question	129	英文
shit	129	英文
mental	129	英文
involved	129	英文
clear	128	英文
worse	128	英文
idea	127	英文
wrong	127	英文
found	127	英文
12	127	数词
mum	127	英文
disease	127	英文
anything	127	英文
contact	126	英文
check	126	英文
top	126	英文
almost	126	英文
kids	126	英文
current	126	英文
oxford	126	英文
taken	126	英文
wonderful	126	英文
worst	125	英文
future	125	英文
sense	125	英文
small	125	英文
night	124	英文
join	124	英文
including	124	英文
set	124	英文
aren	124	英文
situation	124	英文
normal	124	英文
education	124	英文
talking	124	英文
giving	123	英文
looks	123	英文
quite	123	英文
especially	123	英文
feeling	123	英文
questions	122	英文
below	122	英文
likely	122	英文
residents	122	英文
doses	122	英文
video	121	英文
key	121	英文
needed	121	英文
19	121	数词
happen	121	英文
1st	121	数词
1st	121	英文
story	121	英文
agree	121	英文
rollout	121	英文
services	121	英文
priority	120	英文
guidance	120	英文
used	119	英文
sorry	119	英文
means	119	英文
act	118	英文
maybe	118	英文
safety	118	英文
early	118	英文
learning	118	英文
100	117	数词
ok	117	英文
worth	117	英文
whilst	117	英文
ask	117	英文
ahead	117	英文
economy	117	英文
covidvaccination	117	英文
astrazeneca	117	英文
probably	116	英文
hopefully	116	英文
left	116	英文
ones	116	英文
food	116	英文
rather	116	英文
helping	116	英文
slow	116	英文
measures	115	英文
living	115	英文
article	115	英文
god	115	英文
die	114	英文
breaking	114	英文
study	114	英文
increase	113	英文
city	113	英文
etc	113	英文
parents	113	英文
behind	113	英文
wearing	113	英文
despite	113	英文
global	112	英文
spreading	112	英文
using	112	英文
waiting	112	英文
students	112	英文
further	111	英文
leadership	111	英文
heart	111	英文
scientists	110	英文
captain	110	英文
game	110	英文
fact	110	英文
women	110	英文
members	110	英文
cannot	110	英文
businesses	110	英文
gone	109	英文
tweet	109	英文
council	109	英文
line	108	英文
govt	108	英文
nicolasturgeon	108	英文
link	108	英文
supporting	108	英文
effective	108	英文
human	108	英文
went	107	英文
thinking	107	英文
monday	107	英文
rip	107	英文
borders	106	英文
football	106	英文
variants	105	英文
hands	105	英文
trump	105	英文
total	104	英文
plan	104	英文
list	103	英文
reason	103	英文
heard	103	英文
communities	103	英文
cancer	103	英文
talk	102	英文
course	102	英文
return	102	英文
lovely	102	英文
watching	101	英文
loved	101	英文
visit	101	英文
allowed	100	英文
light	100	英文
access	100	英文
bring	100	英文
pm	100	英文
result	100	英文
hit	100	英文
keeping	100	英文
tories	99	英文
leave	99	英文
sick	99	英文
february	99	英文
seeing	99	英文
sooner	99	英文
half	99	英文
called	99	英文
offered	99	英文
trust	98	英文
deal	98	英文
difficult	98	英文
lockdowns	98	英文
level	98	英文
complete	97	英文
run	97	英文
rise	97	英文
fine	97	英文
nice	96	英文
lots	96	英文
system	96	英文
house	96	英文
seriously	96	英文
words	96	英文
chance	96	英文
moment	96	英文
ready	95	英文
volunteers	95	英文
roll	95	英文
reported	95	英文
skynews	95	英文
20	95	数词
sadly	95	英文
single	94	英文
gets	94	英文
action	94	英文
past	94	英文
walk	94	英文
goes	94	英文
started	93	英文
areas	93	英文
transmission	93	英文
issues	93	英文
2nd	93	数词
2nd	93	英文
affected	93	英文
move	93	英文
finally	92	英文
asked	92	英文
nation	92	英文
gp	92	英文
major	92	英文
tier4	92	英文
shows	92	英文
absolute	92	英文
calling	92	英文
dad	92	英文
approved	92	英文
age	91	英文
info	91	英文
prioritise	91	英文
become	91	英文
nationallockdown	91	英文
wellbeing	90	英文
healthcare	90	英文
serious	90	英文
self	90	英文
party	90	英文
instead	90	英文
thoughts	90	英文
club	90	英文
wouldn	89	英文
either	89	英文
season	89	英文
exactly	89	英文
poor	89	英文
wow	89	英文
outside	89	英文
issue	89	英文
mentalhealth	89	英文
side	88	英文
website	88	英文
nurses	88	英文
problem	88	英文
incredible	88	英文
evening	88	英文
happened	88	英文
took	88	英文
thousands	88	英文
quarantine	88	英文
experts	88	英文
comes	88	英文
decision	87	英文
coronavirusuk	87	英文
30	87	数词
hancock	87	英文
download	87	英文
higher	87	英文
putting	86	英文
massive	86	英文
emergency	86	英文
catch	86	英文
happening	86	英文
april	86	英文
kind	86	英文
players	86	英文
africa	86	英文
distancing	85	英文
wish	85	英文
blame	85	英文
groups	85	英文
ensure	85	英文
month	85	英文
later	85	英文
dying	85	英文
india	84	英文
imagine	84	英文
step	84	英文
running	83	英文
provide	83	英文
piece	83	英文
piersmorgan	83	英文
easy	83	英文
nearly	83	英文
ukchange	83	英文
try	82	英文
air	82	英文
coviduk	82	英文
ireland	82	英文
doctors	82	英文
worked	82	英文
bloody	81	英文
front	81	英文
pleased	81	英文
identify	81	英文
asking	81	英文
ppe	81	英文
trial	81	英文
isolation	80	英文
currently	80	英文
trace	80	英文
effort	80	英文
industry	80	英文
experience	80	英文
moore	80	英文
dead	79	英文
dr	79	英文
protection	79	英文
head	78	英文
completely	78	英文
myself	78	英文
conservatives	78	英文
strategy	78	英文
alone	78	英文
results	78	英文
homes	78	英文
reading	78	英文
grateful	78	英文
pretty	78	英文
10downingstreet	77	数词
10downingstreet	77	英文
fully	77	英文
cancelled	77	英文
friend	77	英文
busy	77	英文
receive	77	英文
friday	77	英文
immunity	76	英文
france	76	英文
hasn	76	英文
confirmed	76	英文
totally	76	英文
mass	76	英文
shut	76	英文
answer	76	英文
yourself	76	英文
effects	76	英文
europe	75	英文
press	75	英文
lead	75	英文
outbreak	75	英文
whether	75	英文
worrying	75	英文
throughout	75	英文
united	75	英文
fast	75	英文
law	75	英文
failed	75	英文
unless	74	英文
leaders	74	英文
forget	74	英文
break	74	英文
track	74	英文
regarding	74	英文
short	74	英文
treatment	74	英文
struggling	74	英文
twitter	74	英文
vital	74	英文
details	74	英文
offer	74	英文
lockdownuk	74	英文
based	73	英文
keirstarmer	73	英文
summer	73	英文
infections	73	英文
showing	73	英文
however	73	英文
critical	73	英文
cold	73	英文
mind	73	英文
common	73	英文
three	73	英文
came	73	英文
jan	73	英文
oxfordastrazeneca	73	英文
couldn	72	英文
period	72	英文
wave	72	英文
longer	72	英文
stupid	72	英文
themselves	72	英文
reports	72	英文
winter	72	英文
holiday	72	英文
lies	72	英文
elderly	72	英文
briefing	72	英文
december	72	英文
date	72	英文
policy	72	英文
sharing	72	英文
hell	71	英文
childcare	71	英文
low	71	英文
fear	71	英文
labour	71	英文
international	71	英文
reality	71	英文
event	71	英文
according	70	英文
related	70	英文
along	70	英文
listening	70	英文
approach	70	英文
selfreporting	70	英文
wife	70	英文
beautiful	70	英文
guidelines	69	英文
exercise	69	英文
record	69	英文
wasn	69	英文
scottish	69	英文
turn	69	英文
road	69	英文
ffs	69	英文
prevent	69	英文
jobs	69	英文
training	69	英文
role	69	英文
shocking	69	英文
aged	69	英文
paid	69	英文
idiots	68	英文
north	68	英文
park	68	英文
pressure	68	英文
millions	68	英文
meeting	68	英文
cause	68	英文
strong	68	英文
booked	68	英文
usa	68	英文
hiv	68	英文
peace	68	英文
hand	68	英文
power	68	英文
east	67	英文
led	67	英文
announced	67	英文
deliver	67	英文
truly	67	英文
literally	67	英文
doctor	67	英文
citizens	67	英文
drop	67	英文
covidiots	66	英文
miss	66	英文
blood	66	英文
shop	66	英文
announcement	66	英文
clearly	66	英文
gov	66	英文
gmb	66	英文
minutes	66	英文
covid19vaccine	66	英文
round	66	英文
ward	66	英文
jabs	66	英文
mp	65	英文
liverpool	65	英文
reduce	65	英文
quick	65	英文
aware	65	英文
rapid	65	英文
lack	65	英文
hold	65	英文
cost	65	英文
knew	64	英文
worried	64	英文
fighting	64	英文
state	64	英文
welcome	64	英文
name	64	英文
50	64	数词
seem	64	英文
15	64	数词
earlier	63	英文
vaccinating	63	英文
brought	63	英文
account	63	英文
teams	63	英文
member	63	英文
doubt	63	英文
lucky	63	英文
primary	63	英文
letter	63	英文
11	63	数词
lockdown2021	63	英文
sent	62	英文
order	62	英文
leading	62	英文
space	62	英文
similar	62	英文
special	62	英文
speak	62	英文
mine	62	英文
super	62	英文
leader	62	英文
toll	62	英文
none	62	英文
donate	62	英文
hoping	61	英文
levels	61	英文
playing	61	英文
feb	61	英文
stuff	61	英文
reasons	61	英文
24	61	数词
shame	61	英文
simple	61	英文
opportunity	61	英文
effect	61	英文
60	61	数词
incompetence	61	英文
hero	61	英文
tough	61	英文
snp	61	英文
site	61	英文
send	61	英文
difference	61	英文
govuk	61	英文
african	60	英文
youtube	60	英文
incompetent	60	英文
prime	60	英文
volunteer	60	英文
extra	60	英文
example	60	英文
weekend	60	英文
spent	60	英文
political	60	英文
war	60	英文
published	60	英文
certainly	60	英文
word	60	英文
fair	60	英文
meet	60	英文
glad	60	英文
expect	59	英文
plans	59	英文
patient	59	英文
rising	59	英文
appointment	59	英文
icu	59	英文
caught	59	英文
recently	59	英文
ill	59	英文
extremely	59	英文
flow	59	英文
matter	59	英文
beyond	59	英文
fund	59	英文
loss	59	英文
heartbreaking	59	英文
practice	58	英文
street	58	英文
known	58	英文
conditions	58	英文
saturday	58	英文
learn	58	英文
couple	58	英文
scientific	58	英文
definitely	58	英文
delighted	58	英文
helped	58	英文
survey	58	英文
success	58	英文
nhsuk	58	英文
guys	58	英文
previous	57	英文
xmas	57	英文
sort	57	英文
responsible	57	英文
biggest	57	英文
congratulations	57	英文
dangerous	57	英文
phone	57	英文
dear	57	英文
worry	57	英文
politicians	57	英文
third	57	英文
updates	57	英文
central	57	英文
handling	57	英文
pritipatel	57	英文
passed	57	英文
term	57	英文
plus	57	英文
terrible	57	英文
vaccinate	57	英文
recorded	57	英文
rishisunak	57	英文
works	56	英文
saw	56	英文
explain	56	英文
caused	56	英文
distance	56	英文
kingdom	56	英文
remain	56	英文
isolate	56	英文
english	56	英文
tv	56	英文
signed	56	英文
earth	56	英文
takes	56	英文
west	56	英文
sunday	56	英文
reporting	56	英文
vote	55	英文
son	55	英文
process	55	英文
afternoon	55	英文
moving	55	英文
sending	55	英文
deadly	55	英文
older	55	英文
fit	55	英文
shouldn	55	英文
bame	55	英文
conspiracy	55	英文
st	54	英文
changed	54	英文
flights	54	英文
economic	54	英文
mess	54	英文
present	54	英文
realise	54	英文
quickly	54	英文
cut	54	英文
utter	54	英文
awful	54	英文
bed	54	英文
truth	54	英文
allow	54	英文
touch	54	英文
correct	54	英文
deserve	54	英文
pubs	54	英文
helpful	54	英文
centres	54	英文
adults	54	英文
society	53	英文
page	53	英文
kill	53	英文
facts	53	英文
regulations	53	英文
28	53	数词
decisions	53	英文
continues	53	英文
false	53	英文
funding	53	英文
staying	53	英文
view	53	英文
snow	53	英文
fake	52	英文
germany	52	英文
westminster	52	英文
surprise	52	英文
wanted	52	英文
ni	52	英文
opening	52	英文
figure	52	英文
felt	52	英文
university	52	英文
hearing	52	英文
respect	52	英文
project	52	英文
obesity	52	英文
unfortunately	51	英文
walking	51	英文
island	51	英文
perhaps	51	英文
green	51	英文
selfish	51	英文
beginning	51	英文
eat	51	英文
gavinwilliamson	51	英文
excludeduk	51	英文
1000	51	数词
stories	51	英文
delivery	51	英文
immune	51	英文
useful	51	英文
failure	51	英文
email	51	英文
company	51	英文
rule	51	英文
nurse	51	英文
supply	51	英文
campaign	51	英文
infected	50	英文
stand	50	英文
stayathome	50	英文
statement	50	英文
records	50	英文
kent	50	英文
simply	50	英文
70	50	数词
missed	50	英文
towards	50	英文
declared	50	英文
customers	50	英文
matt	50	英文
scary	50	英文
door	50	英文
child	50	英文
four	50	英文
usual	50	英文
pass	50	英文
sector	50	英文
places	50	英文
knows	50	英文
shielding	50	英文
lateral	50	英文
treat	50	英文
cyprus	50	英文
tax	50	英文
town	49	英文
near	49	英文
mutation	49	英文
feels	49	英文
governments	49	英文
obviously	49	英文
large	49	英文
amount	49	英文
starting	49	英文
sky	49	英文
hour	49	英文
impacted	49	英文
capacity	49	英文
nature	49	英文
resign	49	英文
win	49	英文
wants	49	英文
contracts	49	英文
fans	49	英文
problems	49	英文
25	49	数词
isle	48	英文
mother	48	英文
charge	48	英文
fall	48	英文
severe	48	英文
actual	48	英文
covering	48	英文
joke	48	英文
anyway	48	英文
ways	48	英文
beat	48	英文
often	48	英文
personal	48	英文
proper	48	英文
efforts	48	英文
suffering	48	英文
compared	48	英文
car	48	英文
beds	48	英文
efficacy	48	英文
non	48	英文
accurate	48	英文
history	48	英文
planning	48	英文
general	47	英文
relief	47	英文
lock	47	英文
politics	47	英文
drivers	47	英文
add	47	英文
sarscov2	47	英文
jesus	47	英文
secretary	47	英文
mr	47	英文
responsibility	47	英文
properly	47	英文
biden	47	英文
heroes	47	英文
folks	47	英文
photo	47	英文
carers	47	英文
increased	47	英文
bill	47	英文
dies	47	英文
telling	47	英文
events	47	英文
daughter	46	英文
delivered	46	英文
league	46	英文
directly	46	英文
welsh	46	英文
border	46	英文
ban	46	英文
potential	46	英文
australia	46	英文
expected	46	英文
juliahb1	46	英文
killed	46	英文
providing	46	英文
wake	46	英文
apply	46	英文
session	46	英文
utterly	46	英文
twice	46	英文
focus	46	英文
nhsheroes	46	英文
pupils	46	英文
encouraging	46	英文
brazil	46	英文
wearamask	45	英文
september	45	英文
lying	45	英文
note	45	英文
president	45	英文
hi	45	英文
concerned	45	英文
officers	45	英文
discuss	45	英文
legal	45	英文
surprised	45	英文
thinks	45	英文
written	45	英文
lbc	45	英文
mailonline	45	英文
reminder	45	英文
weekly	45	英文
passports	45	英文
nursing	45	英文
trials	45	英文
wednesday	45	英文
played	45	英文
dont	45	英文
private	45	英文
healthy	45	英文
gave	45	英文
average	44	英文
form	44	英文
building	44	英文
reach	44	英文
apparently	44	英文
grim	44	英文
changes	44	英文
picture	44	英文
position	44	英文
shown	44	英文
guess	44	英文
required	44	英文
corona	44	英文
watched	44	英文
analysis	44	英文
shopping	44	英文
saving	44	英文
headline	44	英文
market	44	英文
protecting	44	英文
delivering	44	英文
lower	44	英文
lessons	44	英文
clinical	44	英文
viruses	44	英文
stick	44	英文
incident	44	英文
eyes	43	英文
bank	43	英文
sage	43	英文
crazy	43	英文
class	43	英文
meant	43	英文
guy	43	英文
mate	43	英文
financial	43	英文
climate	43	英文
challenge	43	英文
missing	43	英文
ridiculous	43	英文
john	43	英文
registered	43	英文
beating	43	英文
nonsense	43	英文
choice	43	英文
bus	43	英文
reopen	43	英文
14	43	数词
driving	43	英文
black	43	英文
emotional	43	英文
nobody	43	英文
recover	43	英文
mortality	43	英文
arm	43	英文
pharmacies	43	英文
june	42	英文
wuhan	42	英文
conference	42	英文
double	42	英文
county	42	英文
challenging	42	英文
tiers	42	英文
companies	42	英文
sheffield	42	英文
stopped	42	英文
concerns	42	英文
retweet	42	英文
stayhomesavelives	42	英文
otherwise	42	英文
entire	42	英文
pain	42	英文
charity	42	英文
management	42	英文
stats	42	英文
disgrace	42	英文
illness	42	英文
majority	42	英文
bless	42	英文
treated	42	英文
paper	42	英文
novavax	42	英文
teaching	41	英文
immediately	41	英文
fun	41	英文
manchester	41	英文
incredibly	41	英文
sensible	41	英文
surgery	41	英文
catching	41	英文
locked	41	英文
whatever	41	英文
taste	41	英文
claim	41	英文
birthday	41	英文
idiot	41	英文
recent	41	英文
comments	41	英文
challenges	41	英文
webinar	41	英文
yeah	41	英文
consider	41	英文
minute	41	英文
budget	41	英文
everywhere	41	英文
appear	41	英文
continuing	41	英文
queue	41	英文
folk	41	英文
indeed	41	英文
visiting	41	英文
shift	41	英文
zero	40	英文
freedom	40	英文
confidence	40	英文
3rd	40	数词
3rd	40	英文
radio	40	英文
individuals	40	英文
safely	40	英文
lie	40	英文
80	40	数词
sport	40	英文
sake	40	英文
corrupt	40	英文
anywhere	40	英文
planet	40	英文
buy	40	英文
lose	40	英文
causing	40	英文
scotgov	40	英文
borishasfailedthenation	40	英文
unbelievable	40	英文
dec	40	英文
appointments	40	英文
fellow	40	英文
highly	40	英文
delay	40	英文
hospitality	40	英文
click	40	英文
awesome	40	英文
supported	40	英文
miles	40	英文
raised	40	英文
nadhimzahawi	40	英文
possibly	39	英文
cover	39	英文
travelling	39	英文
although	39	英文
contracting	39	英文
funny	39	英文
brings	39	英文
sturgeon	39	英文
wash	39	英文
suffer	39	英文
office	39	英文
shot	39	英文
speaking	39	英文
anxiety	39	英文
water	39	英文
household	39	英文
interview	39	英文
rt	39	英文
resources	39	英文
drive	39	英文
hate	39	英文
killing	39	英文
warning	39	英文
excited	39	英文
fire	38	英文
managed	38	英文
capitalism	38	英文
several	38	英文
shops	38	英文
zealand	38	英文
pcr	38	英文
northern	38	英文
mention	38	英文
honestly	38	英文
milestone	38	英文
itvnews	38	英文
tells	38	英文
race	38	英文
suggest	38	英文
90	38	数词
ministers	38	英文
vs	38	英文
battle	38	英文
consequences	38	英文
demand	38	英文
dealing	38	英文
gives	38	英文
thankyou	38	英文
body	38	英文
israel	38	英文
followed	38	英文
glasgow	38	英文
review	38	英文
trip	38	英文
threat	38	英文
updated	38	英文
empty	38	英文
cypruscoronavirus	38	英文
nhsengland	38	英文
avoid	38	英文
register	38	英文
scheme	38	英文
honest	37	英文
sounds	37	英文
till	37	英文
answers	37	英文
interested	37	英文
hair	37	英文
french	37	英文
normality	37	英文
except	37	英文
uklockdown	37	英文
fault	37	英文
returning	37	英文
yorkshire	37	英文
smell	37	英文
november	37	英文
boxing	37	英文
airports	37	英文
games	37	英文
facing	37	英文
parliament	37	英文
40	37	数词
legend	37	英文
above	37	英文
asymptomatic	37	英文
mark	37	英文
ideas	37	英文
infectious	37	英文
disgusting	37	英文
receiving	37	英文
gonna	36	英文
italy	36	英文
offering	36	英文
dates	36	英文
weather	36	英文
steps	36	英文
chinese	36	英文
obvious	36	英文
ppl	36	英文
neighbours	36	英文
useless	36	英文
attention	36	英文
nations	36	英文
paying	36	英文
alongside	36	英文
expert	36	英文
socialdistancing	36	英文
grant	36	英文
oxfordvaccine	36	英文
encourage	36	英文
organised	36	英文
quality	36	英文
transport	36	英文
superb	36	英文
extended	35	英文
gay	35	英文
isolating	35	英文
views	35	英文
stage	35	英文
benefit	35	英文
worker	35	英文
room	35	英文
merry	35	英文
independent	35	英文
starmer	35	英文
woman	35	英文
america	35	英文
forgotten	35	英文
herd	35	英文
happens	35	英文
chief	35	英文
losing	35	英文
turned	35	英文
mad	35	英文
behaviour	35	英文
clinic	35	英文
held	35	英文
match	35	英文
inside	35	英文
im	35	英文
guardian	35	英文
urgent	35	英文
official	35	英文
level5	35	英文
episode	35	英文
booking	35	英文
teacher	35	英文
dubai	35	英文
target	35	英文
discussion	35	英文
acting	34	英文
hey	34	英文
careful	34	英文
appears	34	英文
film	34	英文
leaving	34	英文
pub	34	英文
parts	34	英文
viral	34	英文
bet	34	英文
finding	34	英文
unable	34	英文
identified	34	英文
disabled	34	英文
moved	34	英文
mixing	34	英文
disaster	34	英文
flight	34	英文
rights	34	英文
red	34	英文
inspiration	34	英文
importance	34	英文
deep	34	英文
understanding	34	英文
contract	34	英文
risks	34	英文
men	34	英文
500	34	数词
final	34	英文
pharmacy	34	英文
devastating	34	英文
surrey	34	英文
white	34	英文
homeless	34	英文
captaintommoore	34	英文
mild	33	英文
spike	33	英文
father	33	英文
scale	33	英文
surge	33	英文
closing	33	英文
22	33	数词
amid	33	英文
create	33	英文
states	33	英文
european	33	英文
becoming	33	英文
meanwhile	33	英文
begin	33	英文
tried	33	英文
200	33	数词
remains	33	英文
necessary	33	英文
student	33	英文
strange	33	英文
resource	33	英文
middle	33	英文
anymore	33	英文
costs	33	英文
sleep	33	英文
credit	33	英文
professor	33	英文
waste	33	英文
raise	33	英文
points	33	英文
toryincompetence	33	英文
respiratory	33	英文
hub	33	英文
broken	33	英文
podcast	33	英文
fa	33	英文
includes	33	英文
coffee	33	英文
tragic	33	英文
series	32	英文
particularly	32	英文
tired	32	英文
interest	32	英文
decided	32	英文
letting	32	英文
fresh	32	英文
officer	32	英文
hundreds	32	英文
apart	32	英文
board	32	英文
4th	32	数词
4th	32	英文
fucked	32	英文
claims	32	英文
ourselves	32	英文
grantshapps	32	英文
admitted	32	英文
address	32	英文
wide	32	英文
changing	32	英文
mandatory	32	英文
card	32	英文
horrible	32	英文
13	32	数词
build	32	英文
enjoy	32	英文
opportunities	32	英文
21	32	数词
october	32	英文
himself	32	英文
devisridhar	32	英文
ongoing	32	英文
refuse	32	英文
wards	32	英文
xx	32	英文
rolling	32	英文
247	32	数词
duty	32	英文
allowing	32	英文
disability	32	英文
added	32	英文
bbcbreakfast	32	英文
excuse	32	英文
oxygen	32	英文
golf	32	英文
reopening	32	英文
poverty	32	英文
digital	32	英文
yr	32	英文
leeds	31	英文
luck	31	英文
anti	31	英文
train	31	英文
itself	31	英文
